pair_id,split,paraphrase_transformation_method,paraphrase_quality_status,reversal_transformation_method,reversal_quality_status
P_rage-d6-v3,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d6-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d4-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d4-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d4-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d4-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d5-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d5-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d5-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d5-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d6-v1,train,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_grief-d6-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d6-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d6-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d4-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d4-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d4-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d4-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d5-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d5-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d5-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d5-v4,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d6-v1,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d6-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d6-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d6-v4,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d4-v1,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d4-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d4-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d4-v4,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d5-v1,test,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_ecstasy-d5-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d5-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d5-v4,train,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_ecstasy-d6-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d6-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d6-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d6-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d4-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d4-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d4-v3,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d4-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d5-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d5-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d5-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d5-v4,train,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_loathing-d6-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d6-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d6-v3,train,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_loathing-d6-v4,train,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_amazement-d4-v1,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d4-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d4-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d4-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d5-v1,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d5-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d5-v3,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d5-v4,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d6-v1,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d6-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d6-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d6-v4,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d4-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d4-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d4-v3,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d4-v4,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d5-v1,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d5-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d5-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d5-v4,test,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_admiration-d6-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d6-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d6-v3,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d6-v4,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d4-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d4-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d4-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d4-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d5-v1,train,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_vigilance-d5-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d5-v3,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d5-v4,train,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_vigilance-d6-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d6-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d6-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d6-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
