family,task,sample_idx,pair_id,item_id,initial_emd,best_layer,best_depth,recovery_ratio,recovery_ratio_matched_plain,recovery_ratio_aligned,auc_recovery,auc_recovery_matched_plain,auc_recovery_aligned
qwen,reader,30,pair_30,item_30,2.167500732632158,2,0.6666666666666666,0.7857418710857501,0.8363962138648168,0.7541371582352434,0.302261565150003,0.31950809347058345,0.2919180725788929
qwen,reader,31,pair_31,item_31,1.3258793042444328,2,0.6666666666666666,0.6882339134375498,0.7660532681205452,0.612166923764212,0.26642496342624755,0.28570382030863684,0.2368297606134986
qwen,self,0,pair_0,item_0,2.2061428631227527,2,0.6666666666666666,0.7253221287861752,0.7360294837390916,0.6866832558246687,0.3207429339375194,0.32066508477288996,0.31119786714377695
qwen,self,1,pair_1,item_1,1.770541971677668,2,0.6666666666666666,0.7448309659538275,0.7857372029959571,0.742062732071802,0.36050509005336634,0.3873379054399577,0.3598181985290341
qwen,self,2,pair_2,item_2,2.3161772958847973,2,0.6666666666666666,0.6891414898570474,0.7234961270154984,0.6564961135022299,0.3370192945345174,0.3533498353130091,0.3334271527361473
qwen,self,3,pair_3,item_3,2.106578437777173,2,0.6666666666666666,0.7102467227970968,0.7640771097840718,0.6681809247700027,0.303783367003272,0.3228510626978036,0.28662654619480155
qwen,self,4,pair_4,item_4,1.3224305522539443,2,0.6666666666666666,0.7653446900805344,0.8071433917536355,0.777426936327186,0.3663931018305999,0.38676036186402785,0.3729359104999205
qwen,self,5,pair_5,item_5,2.4683090571277826,2,0.6666666666666666,0.6606297842735661,0.6790795967323723,0.6063500068226965,0.2808799885722536,0.2991544699004649,0.2586687869276111
qwen,self,6,pair_6,item_6,2.1894816125874588,2,0.6666666666666666,0.6370868731119959,0.6470055051985029,0.5978675503206354,0.27818223971297334,0.2894171661015963,0.2648297662238386
qwen,self,7,pair_7,item_7,2.2218835968600397,2,0.6666666666666666,0.7580829167451576,0.7933106032920947,0.7248221687004248,0.3340059484386955,0.3441726198426448,0.31443253047156383
qwen,self,8,pair_8,item_8,1.3665477224782097,2,0.6666666666666666,0.7901394906340037,0.815215304494847,0.7820996141518083,0.37557687977461934,0.3907780648578447,0.38220339037573736
qwen,self,9,pair_9,item_9,1.7855017192642373,2,0.6666666666666666,0.8729965806676356,0.935195179332181,0.8346210957213842,0.338946139657594,0.3535610090763869,0.3207883379819456
qwen,self,10,pair_10,item_10,1.6820374315023556,2,0.6666666666666666,0.7575469541639755,0.7906872965819807,0.6845351708062051,0.32589839342024396,0.3289966030362016,0.29749252956857
qwen,self,11,pair_11,item_11,2.4047944855031824,2,0.6666666666666666,0.8468113855163815,0.882462831345083,0.8280190540201162,0.33423251959707884,0.34582418185276764,0.34032485664953344
qwen,self,12,pair_12,item_12,2.037024656104864,2,0.6666666666666666,0.8439441985642911,0.9059330871844028,0.8251719305054229,0.38653342673172425,0.406118267037509,0.3788547934053822
qwen,self,13,pair_13,item_13,2.2695900972520793,2,0.6666666666666666,0.6519419239682671,0.7147635888322149,0.620000469627379,0.33439790155859905,0.3559558759702749,0.30475346939704195
qwen,self,14,pair_14,item_14,1.7764384584755304,2,0.6666666666666666,0.8701301073090622,0.9150772841391669,0.8148015334397869,0.3805887036600246,0.40350710847602034,0.35122071047853287
qwen,self,15,pair_15,item_15,1.49541033832021,2,0.6666666666666666,0.8071736734365791,0.8689017882281889,0.7495480844699625,0.3938125812575102,0.4268277053605446,0.37045817939977804
qwen,self,16,pair_16,item_16,1.9209602231205851,2,0.6666666666666666,0.8576910841733499,0.8857038738057662,0.8150350510758956,0.3644544812295861,0.38759632075004147,0.3570413880826405
qwen,self,17,pair_17,item_17,1.2829624329354279,2,0.6666666666666666,0.8220344645264539,0.8952212749831195,0.7488875504789526,0.4131333464068859,0.4289186904574916,0.38671273081267526
qwen,self,18,pair_18,item_18,2.275920523590357,2,0.6666666666666666,0.8128760729018859,0.8073178078143274,0.7862713417812169,0.3308791568234324,0.32370607841016713,0.322538266408709
qwen,self,19,pair_19,item_19,2.021163718858684,2,0.6666666666666666,0.8201103208686438,0.8775264064204245,0.7767539614786488,0.3580569011828574,0.38214307200972464,0.34210047072127836
qwen,self,20,pair_20,item_20,2.185514062110986,2,0.6666666666666666,0.6591303126251007,0.6863891469287042,0.6247910382993229,0.25347112558208285,0.2699009810232943,0.25733056857418973
qwen,self,21,pair_21,item_21,1.6608837585688287,2,0.6666666666666666,0.7301531162446275,0.7827324724444309,0.6728345816492455,0.29072149133716124,0.31256309302619356,0.27218221491232036
qwen,self,22,pair_22,item_22,2.4619074317133745,2,0.6666666666666666,0.8519689037460052,0.8814816833995543,0.8166088956372818,0.3034990960151105,0.3086067810316675,0.2973302391075244
qwen,self,23,pair_23,item_23,2.3610574577188572,2,0.6666666666666666,0.8630829377462851,0.9036143340295325,0.8213164135616263,0.31799985752422355,0.34045934208237455,0.3234462862540672
qwen,self,24,pair_24,item_24,2.2118985461958904,2,0.6666666666666666,0.8043507742299868,0.8127769630753068,0.7582694037855122,0.33378502333853155,0.3296664285781662,0.31481614985915074
qwen,self,25,pair_25,item_25,1.4530303202075578,2,0.6666666666666666,0.8055218206166029,0.858181333986941,0.7653725108330182,0.3263844075593487,0.3467547777202436,0.314699610287281
qwen,self,26,pair_26,item_26,1.8067373048451443,2,0.6666666666666666,0.7850267586743831,0.8086884486735939,0.7674811608295822,0.38482675958252477,0.39898055825760304,0.3756412172686323
qwen,self,27,pair_27,item_27,1.2569448955233973,2,0.6666666666666666,0.7530112999768134,0.7508456250731741,0.7009711303122769,0.3496917394660165,0.34668332791694234,0.332916380063205
qwen,self,28,pair_28,item_28,1.4005763396878121,2,0.6666666666666666,0.9713383454003186,0.9886860956104458,0.9385875505641043,0.3891929542273961,0.4003556697731462,0.3759117519793258
qwen,self,29,pair_29,item_29,2.0879636392151912,2,0.6666666666666666,0.8495303770933702,0.9187225826744434,0.836154769764116,0.36966439972356113,0.38726323255928885,0.36304893619614664
qwen,self,30,pair_30,item_30,2.1681908026801624,2,0.6666666666666666,0.7487635062249927,0.7548865000926321,0.6634401248157336,0.3631960834090606,0.374562742418007,0.33493072388543565
qwen,self,31,pair_31,item_31,2.4577626521644733,2,0.6666666666666666,0.7975184165092418,0.8414621021471028,0.7653432544369018,0.3155252604133566,0.3282344257558133,0.3109449670584671
