family,task,sample_idx,pair_id,item_id,initial_emd,best_layer,best_depth,best_layer_native,best_layer_matched_plain,best_layer_aligned,recovery_ratio,recovery_ratio_matched_plain,recovery_ratio_aligned,auc_recovery,auc_recovery_matched_plain,auc_recovery_aligned,delta_emd_matched_plain,auc_delta_emd_matched_plain
llama,reader,10,pair_10,item_10,1.9196241148714492,2,0.6666666666666666,2,2,2,0.6364901210171586,0.6430525367223998,0.6400256144435252,0.2199908046395437,0.22232463004208103,0.2229224445536756,1.2344191566215768,0.42677972115865215
llama,reader,11,pair_11,item_11,2.249884932721593,2,0.6666666666666666,2,2,2,0.5657882008939441,0.6221083129596023,0.5610527675918043,0.2530267392766379,0.2735305520443132,0.24973595969050255,1.3996721198486586,0.6154122676835198
llama,reader,12,pair_12,item_12,1.490286094864254,2,0.6666666666666666,2,2,2,0.7283676865279245,0.7602172181724841,0.7096963182627609,0.3418663954598914,0.34958891130323355,0.33405156867901975,1.132941149318838,0.520987493433942
llama,reader,13,pair_13,item_13,2.0124588940545736,2,0.6666666666666666,2,2,2,0.5572280395518384,0.5380486832798625,0.5107256270182214,0.30532631790599796,0.30236739086448305,0.29923956652169453,1.0828008581009116,0.6085019450173045
llama,reader,14,pair_14,item_14,2.1641136512463035,2,0.6666666666666666,2,2,2,0.7311783715320199,0.7977154314105446,0.6530831401651671,0.324110774207897,0.3613077542748253,0.2903330113008647,1.7263468549253937,0.7819110433272943
llama,reader,15,pair_15,item_15,1.5558910438926705,2,0.6666666666666666,2,2,2,0.797820276224636,0.8307671623603441,0.762430032914401,0.2965222597395225,0.334357053111762,0.2732906038298619,1.2925831874765874,0.5202231443989365
llama,reader,16,pair_16,item_16,2.2871815818274728,2,0.6666666666666666,2,2,2,0.6211433556371218,0.6620842106258773,0.592410922761344,0.2947217823138395,0.3135102269668685,0.2806434120895117,1.5143068121622878,0.7170548168331723
llama,reader,17,pair_17,item_17,1.2947451536017074,2,0.6666666666666666,2,2,2,0.6893076155683355,0.7305067634829547,0.6561845311890464,0.3649512446597936,0.3800430179954477,0.35685881565987193,0.9458200916928243,0.49205885570977237
llama,reader,18,pair_18,item_18,1.4501053309860157,2,0.6666666666666666,2,2,2,0.4956343745109063,0.5193996313332387,0.46504617883474647,0.2500540596148409,0.2589802629141387,0.23456048181479067,0.7531841743085007,0.3755486598719525
llama,reader,19,pair_19,item_19,1.9890661997977224,2,0.6666666666666666,2,2,2,0.5992235573383214,0.650641290833081,0.5943197280042805,0.21148887702695982,0.22396996405612496,0.2009143363208803,1.294168599788841,0.44549108527394893
llama,reader,20,pair_20,item_20,2.196091328244621,2,0.6666666666666666,2,2,2,0.6056936206249611,0.5991590232733168,0.5540102911350497,0.2715736496279081,0.27636222024293094,0.23978729216709518,1.315807935250048,0.6069166753299307
llama,reader,21,pair_21,item_21,2.268774265616555,2,0.6666666666666666,2,2,2,0.620499015182395,0.6244556752759373,0.6091728997964592,0.28286461442490374,0.30374063478815905,0.2876951856418938,1.4167489660842545,0.6891189356294118
llama,reader,22,pair_22,item_22,1.2654160602534281,2,0.6666666666666666,2,2,2,0.719361757893329,0.7231759017993631,0.6838952833267524,0.307400801582505,0.3154492410630563,0.2849339088983148,0.91511840052517,0.39917453583594653
llama,reader,23,pair_23,item_23,2.3023657774125987,2,0.6666666666666666,2,2,2,0.6307975421517809,0.6784567174189732,0.5942106938883854,0.24044524992293137,0.2529734978252041,0.21674938314790665,1.562055527641134,0.5824375239851105
llama,reader,24,pair_24,item_24,2.4235581711895473,2,0.6666666666666666,2,2,2,0.6023279126693948,0.6478831504265048,0.5567452177946749,0.3412350365899538,0.3657416781597137,0.3328291277313633,1.5701825031921823,0.8863962326485517
llama,reader,25,pair_25,item_25,2.2741661027097226,2,0.6666666666666666,2,2,2,0.6523283548434116,0.68761996797997,0.5939007375679569,0.24504384516757793,0.24147132863562204,0.199604967750559,1.5637620227263929,0.5491459103594112
llama,reader,26,pair_26,item_26,2.1132694737947224,2,0.6666666666666666,2,2,2,0.6099371673249768,0.6063190545095885,0.5785615465731011,0.23434400594661925,0.22384583049451684,0.23291883753382508,1.2813155492751915,0.47304656042029014
llama,reader,27,pair_27,item_27,2.3885751225253538,2,0.6666666666666666,2,2,2,0.601903614973864,0.6696268415819358,0.5746499880399072,0.2769084614204388,0.29852964344728466,0.26669426830301973,1.5994540151778378,0.7130604796745481
llama,reader,28,pair_28,item_28,2.314664049618595,2,0.6666666666666666,2,2,2,0.6303588833981478,0.6869065960026601,0.5889608512794542,0.2880731282301897,0.31384698532374433,0.26179981940199304,1.5899580032132414,0.7264503340100459
llama,reader,29,pair_29,item_29,1.8907713361526106,2,0.6666666666666666,2,2,2,0.5122790522129494,0.5366305144927203,0.5035477251662738,0.2656802621141673,0.28505643195789193,0.26116495265430245,1.0146455949076636,0.5389765307319191
llama,reader,30,pair_30,item_30,2.167500732632158,2,0.6666666666666666,2,2,2,0.74294505203628,0.7981933624343028,0.648498413094134,0.37789576957366355,0.4174951807348918,0.3277420325945622,1.730084697858477,0.9049211101132733
llama,reader,31,pair_31,item_31,1.3258793042444328,2,0.6666666666666666,2,2,2,0.5942464686609604,0.6278612353157761,0.5792258651423301,0.22881369191866635,0.2522829588634373,0.21581390034626818,0.8324682178425313,0.3344967539705812
llama,self,0,pair_0,item_0,2.2061428631227527,2,0.6666666666666666,2,2,2,0.7849443269507563,0.8328868647876265,0.7398536868871475,0.3291276683618058,0.34251599025569457,0.3028313017737224,1.8374674125399073,0.7556392074080229
llama,self,1,pair_1,item_1,1.770541971677668,2,0.6666666666666666,2,2,2,0.7959634108316388,0.8282384599486188,0.7540954749287376,0.31217869342564164,0.3258021169423718,0.30297567794878305,1.4664309558967028,0.5768463225079052
llama,self,2,pair_2,item_2,2.3161772958847973,2,0.6666666666666666,2,2,2,0.97910306742324,1.0,0.9251083664879403,0.41401647661299523,0.44195351334088073,0.3870535351564777,2.3161772958847973,1.023642693436667
llama,self,3,pair_3,item_3,2.106578437777173,2,0.6666666666666666,2,2,2,0.9278527133230601,0.9467474328218135,0.8845113278989564,0.371851186267712,0.37503694975537716,0.347039892866813,1.994397728003325,0.7900447517243985
llama,self,4,pair_4,item_4,1.3224305522539443,2,0.6666666666666666,2,2,2,0.7094456763758208,0.7401544853151185,0.7034032320168928,0.3518027951615932,0.3770362938979369,0.3492323611191567,0.9788029047685061,0.49860431435922914
llama,self,5,pair_5,item_5,2.4683090571277826,2,0.6666666666666666,2,2,2,0.7547144754965923,0.7871224494712429,0.6656455829031367,0.3294974781440569,0.339078065061559,0.2929023885245604,1.9428614710984742,0.8369494590648094
llama,self,6,pair_6,item_6,2.1894816125874588,2,0.6666666666666666,2,2,2,0.6606297842735661,0.6983046712797696,0.622861289769694,0.2493220436934941,0.26954643189483884,0.23524279396728764,1.5289252377509852,0.5901669563723073
llama,self,7,pair_7,item_7,2.2218835968600397,2,0.6666666666666666,2,2,2,0.7304485833034475,0.7558644680922396,0.697456402565724,0.2983966424767996,0.3079112466017391,0.2862035043514707,1.6794428631034861,0.6841429481131307
llama,self,8,pair_8,item_8,1.3665477224782097,2,0.6666666666666666,2,2,2,0.8029535447077536,0.8525319923940441,0.7687257472661079,0.3543609895625319,0.3711135355865668,0.3377546714076126,1.1650256525458913,0.5071443568366589
llama,self,9,pair_9,item_9,1.7855017192642373,2,0.6666666666666666,2,2,2,0.8741734340915851,0.9381364221525609,0.82302647076058,0.3894226265303441,0.4183086284961147,0.3777017711166063,1.6750441946577979,0.7468907753628782
llama,self,10,pair_10,item_10,1.6820374315023556,2,0.6666666666666666,2,2,2,0.7193784374010377,0.758455945824459,0.6482750798814141,0.38729694437512796,0.40714023575208114,0.35916436340659685,1.2757512910222628,0.684825116405694
llama,self,11,pair_11,item_11,2.4047944855031824,2,0.6666666666666666,2,2,2,0.7253734292151027,0.7686772288438419,0.6956646674286298,0.4053041059602534,0.42966133289777253,0.3908491570293742,1.848510761055539,1.0332472039865104
llama,self,12,pair_12,item_12,2.037024656104864,2,0.6666666666666666,2,2,2,0.605922022041434,0.637281230095063,0.610172925222646,0.2830201194682772,0.2930680957354832,0.27205177165852856,1.2981575785764803,0.59698693693088
llama,self,13,pair_13,item_13,2.2695900972520793,2,0.6666666666666666,2,2,2,0.7646918707769338,0.8029281521776088,0.6957800491397643,0.2998648381264113,0.31215458835734533,0.2722145685228878,1.8223177829872115,0.7084629625476302
llama,self,14,pair_14,item_14,1.7764384584755304,2,0.6666666666666666,2,2,2,0.6927119914717613,0.7129164303744925,0.675352952172137,0.2603196032909097,0.25961228662022134,0.2506559025795574,1.2664521645963411,0.4611852502449335
llama,self,15,pair_15,item_15,1.49541033832021,2,0.6666666666666666,2,2,2,0.7353499902312405,0.7784473749762687,0.6920119862572205,0.32367629283514116,0.34208950020713363,0.2979693416441815,1.1640982523777412,0.5115641752405412
llama,self,16,pair_16,item_16,1.9209602231205851,2,0.6666666666666666,2,2,2,0.7075562821671193,0.7409883643072055,0.6709519811421865,0.291665228800286,0.31832412605824195,0.26883828942289834,1.4234091736293268,0.6114879842175056
llama,self,17,pair_17,item_17,1.2829624329354279,2,0.6666666666666666,2,2,2,0.7701641400803219,0.8505357132629499,0.7105979628622268,0.32492039564468234,0.3579449372667205,0.29912700362170297,1.0912053679863036,0.4592299075726309
llama,self,18,pair_18,item_18,2.275920523590357,2,0.6666666666666666,2,2,2,0.6370868731119959,0.7004083148171005,0.5985434060092785,0.28951282420185764,0.3125144832843716,0.2818890187355366,1.594073658585575,0.7112581264261368
llama,self,19,pair_19,item_19,2.021163718858684,2,0.6666666666666666,2,2,2,0.6603415247892471,0.7010755320798395,0.6533253404437639,0.3071074426083167,0.33009804167458834,0.2884989700533355,1.4169884296193191,0.6671821854989799
llama,self,20,pair_20,item_20,2.185514062110986,2,0.6666666666666666,2,2,2,0.9480449133827903,0.9801860148580345,0.9122957725534049,0.4127747274043102,0.4398890739298278,0.3987373808215982,2.1422103189567623,0.9613837568426178
llama,self,21,pair_21,item_21,1.6608837585688287,2,0.6666666666666666,2,2,2,0.6747113379186039,0.6861986753748659,0.6756220031308725,0.3072582265111254,0.3210969198581368,0.2994029741781051,1.139696235081559,0.5333046591188562
llama,self,22,pair_22,item_22,2.4619074317133745,2,0.6666666666666666,2,2,2,0.6899622981441552,0.7482832721131403,0.6790124210165013,0.3008258803894326,0.3229156675616854,0.29639696741404176,1.8422041486421412,0.7949884817867986
llama,self,23,pair_23,item_23,2.3610574577188572,2,0.6666666666666666,2,2,2,0.9246582266862315,0.976146122523486,0.8872070489305115,0.3602287749776696,0.39516762402484584,0.3545946963970943,2.304737082407422,0.9330134657529039
llama,self,24,pair_24,item_24,2.2118985461958904,2,0.6666666666666666,2,2,2,1.0,1.0,0.9848786905233557,0.3843328462492114,0.39065981471821565,0.37368633578771504,2.2118985461958904,0.864099876232377
llama,self,25,pair_25,item_25,1.4530303202075578,2,0.6666666666666666,2,2,2,0.683979814114499,0.6832870850807402,0.6585606865835401,0.3033969943912324,0.3186630813977058,0.30066733856273214,0.9928368520285568,0.46302711920163564
llama,self,26,pair_26,item_26,1.8067373048451443,2,0.6666666666666666,2,2,2,0.7482452278774839,0.8042062589025217,0.7273927300195508,0.316314491393049,0.34710016698953516,0.3057219724202835,1.4529894487491384,0.6271188202179723
llama,self,27,pair_27,item_27,1.2569448955233973,2,0.6666666666666666,2,2,2,0.8050295884957672,0.8543694746848428,0.7588466900002847,0.4104911515680153,0.4240281014714876,0.3801017417395522,1.0738953500961195,0.5329799577030634
llama,self,28,pair_28,item_28,1.4005763396878121,2,0.6666666666666666,2,2,2,0.9160009559729738,0.9395923900833331,0.8715318244915091,0.37714125601931114,0.37983398774368593,0.36001914403125224,1.3159708705014377,0.5319864962430769
llama,self,29,pair_29,item_29,2.0879636392151912,2,0.6666666666666666,2,2,2,0.6987565781462675,0.724263910904582,0.6498702727729485,0.3529128293360623,0.3827863272509425,0.3359220241853229,1.512236711164558,0.7992439328886951
llama,self,30,pair_30,item_30,2.1681908026801624,2,0.6666666666666666,2,2,2,0.7580829167451576,0.8012614066695458,0.7399704495997967,0.3206752473335821,0.34222776651386416,0.31634392967001673,1.7372876124834786,0.7420150957771343
llama,self,31,pair_31,item_31,2.4577626521644733,2,0.6666666666666666,2,2,2,0.839892150505466,0.8829360939978641,0.7743314705178953,0.3416836626355686,0.34892496404607387,0.3062116249601986,2.1700473560759312,0.857574745040272
